"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 06:26:39 BDT 2024","Tue Mar 12 06:32:39 BDT 2024","360482","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestJobSelection","testcases.TestJobSelection","testJobSelectionProcess","testJobSelectionProcess",""
"passed","Tue Mar 12 06:26:27 BDT 2024","Tue Mar 12 06:26:33 BDT 2024","5612","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestHomePage","testcases.TestHomePage","testHomePageDashBoardButton","testHomePageDashBoardButton",""
"passed","Tue Mar 12 06:32:39 BDT 2024","Tue Mar 12 06:32:39 BDT 2024","313","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestLogInPage","testcases.TestLogInPage","testLogInPage","testLogInPage",""
"passed","Tue Mar 12 06:26:27 BDT 2024","Tue Mar 12 06:26:27 BDT 2024","314","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestHomePage","testcases.TestHomePage","testHomePageTitle","testHomePageTitle",""
"passed","Tue Mar 12 06:26:25 BDT 2024","Tue Mar 12 06:26:27 BDT 2024","1955","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestDashBoard","testcases.TestDashBoard","testDashBoardTitle","testDashBoardTitle",""
"passed","Tue Mar 12 06:32:39 BDT 2024","Tue Mar 12 06:34:20 BDT 2024","100423","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestOnlineApplicationFormPage","testcases.TestOnlineApplicationFormPage","testCandidateOnlineApplicationFormPageProcess","testCandidateOnlineApplicationFormPageProcess",""
"passed","Tue Mar 12 06:26:33 BDT 2024","Tue Mar 12 06:26:39 BDT 2024","5678","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestHomePage","testcases.TestHomePage","testHomePageLogInButton","testHomePageLogInButton",""
"passed","Tue Mar 12 06:26:27 BDT 2024","Tue Mar 12 06:26:27 BDT 2024","275","All Test Suite","F:/CNS Project/CPA_PROJECT/src/test/java/testcases","testcases.TestHomePage","testcases.TestHomePage","testHomePageUrl","testHomePageUrl",""
